"VIC_ESCOLARIDAD","VIC_EST_CIV","VIC_TRABAJA","AGR_TRABAJA","AGR_ESCOLARIDAD","AGR_EST_CIV"
99,2,9,9,99,1
10,2,2,1,26,1
33,2,2,1,46,1
10,2,2,1,10,1
26,9,1,2,33,1
26,2,1,1,26,1
23,2,2,1,22,1
26,9,2,2,26,1
29,NA,2,2,29,1
10,1,2,2,10,1
10,1,2,1,29,1
10,1,2,2,33,1
10,1,2,2,39,1
10,1,2,2,32,1
10,1,2,2,10,1
10,1,2,2,10,1
10,1,2,2,33,1
10,1,2,2,39,1
23,1,2,2,33,1
26,1,2,1,46,1
26,1,2,1,26,1
26,1,2,2,99,1
29,1,2,1,29,1
29,1,2,2,29,1
33,1,2,2,33,1
33,1,2,2,33,1
46,1,2,1,33,1
49,1,2,1,49,1
49,1,2,2,39,1
99,1,2,9,26,1
10,2,2,1,10,1
10,2,2,1,33,1
26,2,2,1,10,1
26,2,2,1,26,1
26,2,2,2,33,1
29,2,2,2,39,1
29,2,2,1,49,1
29,2,2,2,29,1
29,2,2,2,29,1
10,3,2,2,39,1
10,3,2,2,26,1
10,3,2,2,26,1
10,4,2,1,29,1
10,9,2,1,22,1
10,9,2,1,10,1
24,9,2,1,24,1
29,9,2,2,29,1
99,9,2,2,99,1
99,9,2,1,99,1
49,2,1,2,49,1
33,1,1,2,33,1
49,1,1,1,49,1
33,2,1,2,26,1
33,1,1,1,33,1
39,1,1,2,29,1
25,2,1,1,26,1
29,9,1,2,39,1
10,9,1,1,10,1
99,2,1,2,49,1
23,2,1,1,46,1
10,1,1,2,10,1
10,2,1,1,23,1
99,1,1,2,24,1
10,1,1,2,10,1
33,1,1,2,33,1
29,2,9,9,29,1
10,2,2,2,22,1
10,3,2,1,10,1
29,2,1,1,29,1
22,1,2,1,21,1
26,1,2,1,24,1
26,1,2,1,24,1
39,1,2,2,49,1
46,1,2,1,46,1
10,4,2,2,29,1
10,9,2,1,24,1
46,1,1,2,46,1
26,2,1,1,26,1
26,2,1,1,10,1
26,1,2,1,26,1
29,1,2,2,29,1
10,2,2,1,29,1
33,2,2,1,33,1
10,3,2,1,39,1
10,3,2,2,10,1
25,2,1,1,25,1
25,NA,2,2,45,1
26,1,2,1,33,1
31,1,2,2,25,1
31,1,2,1,46,1
33,1,2,1,26,1
33,1,2,2,26,1
33,1,2,2,45,1
59,1,2,2,33,1
10,2,2,1,26,1
10,2,2,2,26,1
10,2,2,1,10,1
26,2,2,1,32,1
26,2,2,2,45,1
26,4,2,1,31,1
99,4,2,1,99,1
22,5,2,1,26,1
10,9,2,1,32,1
10,9,2,1,10,1
10,9,2,1,33,1
23,9,2,1,45,1
26,9,2,2,26,1
99,9,2,1,10,1
46,1,1,2,33,1
32,1,1,2,26,1
26,2,1,2,46,1
33,9,1,2,21,1
29,1,1,2,29,1
46,1,1,2,46,1
26,1,1,1,33,1
10,2,1,2,10,1
10,2,1,1,26,1
33,1,1,1,25,1
10,2,1,9,99,2
39,2,9,1,10,2
33,2,2,1,26,2
33,2,2,1,46,2
29,1,2,1,29,2
24,2,2,1,23,2
26,2,2,1,33,2
26,2,2,1,26,2
29,2,2,1,29,2
33,2,2,1,22,2
33,2,2,1,46,2
10,3,2,1,31,2
29,3,2,9,29,2
